91,6,1
61,9,11
20,1,3
79,10,5
81,10,0
77,16,0
81,0,6
78,7,0
101,7,8
83,16,8
80,6,0
97,55,30
80,6,0
96,2,3
105,42,0
105,22,0
165,70,38
177,95,55
101,14,0
119,41,21
85,44,14
96,23,0
129,56,5
18,13,19
44,11,2
55,4,1
83,6,0
62,0,0
61,5,6
112,13,18
108,5,9
64,0,0
64,4,4
62,0,0
93,6,0
110,41,2
81,18,0
88,20,19
84,27,7
72,0,8
126,62,34
124,32,7
127,21,7
114,20,0
96,19,0
94,6,0
92,12,0
119,18,0
116,0,3
111,10,0
67,0,0
104,24,17
70,0,0
71,7,5
101,5,0
72,12,0
110,43,34
85,26,0
86,21,3
62,3,7
43,0,11
59,4,10
70,13,6
89,4,0
70,7,0
83,8,0
119,15,4
77,0,0
82,0,4
90,12,0
88,10,0
104,6,0
90,11,7
88,31,20
63,2,0
144,59,18
120,47,0
102,19,3
80,12,11
143,76,49
58,11,3
32,0,5
90,12,0
75,7,8
71,0,2
96,1,5
99,7,0
103,1,0
39,2,9
76,1,8
89,18,0
84,21,12
99,46,30
155,114,112
59,4,1
76,6,6
116,35,6
112,63,31
64,17,0
53,0,0
55,11,0
39,7,8
36,0,0
13,0,0
29,0,0
89,8,5
38,0,0
7,0,5
13,4,7
7,0,0
30,0,0
91,8,2
99,7,12
91,0,5
86,5,0
96,0,0
31,4,0
102,5,0
17,1,1
61,14,8
95,4,0
76,8,0
94,7,0
94,18,0
84,8,0
108,41,22
87,9,5
92,15,0
99,12,5
84,2,4
97,13,13
74,17,23
87,15,3
87,12,7
69,14,7
95,1,2
75,9,0
91,11,2
76,19,0
112,27,7
121,17,14
110,0,5
103,12,11
160,67,34
94,1,12
85,0,7
93,8,5
113,12,4
81,1,0
81,4,0
88,10,8
97,30,11
100,42,40
106,18,14
130,69,50
70,9,6
101,20,16
73,3,1
75,0,1
104,23,0
221,162,130
106,28,8
98,8,7
87,10,0
126,45,18
79,2,0
75,20,15
72,11,18
87,10,0
73,10,3
97,15,1
95,15,0
69,0,0
122,71,28
112,45,0
127,62,20
118,41,11
114,35,5
94,8,0
99,17,6
86,26,0
125,50,45
93,24,0
112,52,16
101,53,30
110,20,12
96,0,0
96,3,0
101,0,3
98,7,4
94,16,0
53,0,0
163,79,42
118,17,0
144,84,47
121,12,18
113,35,0
84,27,8
116,70,70
77,0,0
92,3,0
86,5,1
73,16,5
82,2,3
93,11,0
95,29,0
88,6,18
84,4,13
94,17,0
124,43,14
107,10,0
111,10,0
118,16,0
94,0,6
79,0,0
97,9,8
60,7,3
188,112,80
130,31,10
85,10,7
98,2,3
48,0,0
64,5,11
70,1,4
90,7,0
145,73,33
93,1,4
110,13,6
115,27,0
3,16,9
6,6,4
51,6,11
60,12,2
54,2,6
76,0,0
101,2,5
80,0,0
88,1,0
91,21,9
135,76,70
55,0,2
65,18,12
151,73,24
112,10,5
92,8,6
77,20,3
72,7,1
58,0,0
152,63,49
96,16,0
95,3,6
93,2,1
115,23,8
123,68,12
121,53,6
145,94,51
84,25,0
130,30,14
80,13,5
92,15,5
59,0,0
68,10,0
98,14,3
63,0,0
77,15,4
80,11,4
103,26,10
110,34,11
91,14,0
53,4,0
64,8,7
106,5,0
121,14,0
106,3,0
110,5,2
129,7,4
125,12,18
113,2,0
148,85,80
77,3,0
68,4,0
51,0,0
67,7,15
81,18,29
102,21,0
111,18,10
102,15,0
83,5,0
91,0,0
70,7,2
59,10,6
112,38,27
58,5,1
100,14,15
85,15,15
96,30,4
45,0,0
97,10,1
142,65,39
109,5,0
83,4,0
100,13,0
109,11,8
89,1,0
92,11,0
91,4,0
102,27,0
65,0,1
151,64,21
49,0,0
102,17,12
81,5,7
63,0,0
61,0,0
69,2,0
86,18,0
27,9,9
77,7,5
95,7,3
22,0,0
119,48,18
118,3,0
119,15,12
69,0,5
77,10,1
98,16,4
119,11,9
102,0,0
101,9,0
73,0,3
46,8,7
80,15,23
77,10,1
108,11,0
121,9,8
93,2,1
97,17,16
82,31,14
82,18,8
76,0,0
80,28,15
96,20,7
104,26,13
73,6,0
55,0,0
71,17,0
98,40,26
97,37,9
81,11,19
72,5,0
71,8,3
167,121,95
80,6,0
74,12,15
80,12,3
20,0,0
73,11,14
94,15,8
48,6,10
60,16,13
75,0,5
94,4,4
126,24,10
61,25,13
9,1,0
5,4,9
133,69,7
169,108,27
199,138,73
93,30,0
120,75,33
110,3,9
106,0,0
87,5,17
61,12,7
60,16,17
99,7,8
45,0,5
70,26,13
87,19,10
