141,126,121
151,138,132
154,144,135
168,153,148
150,137,146
182,168,165
164,151,145
162,151,159
165,151,151
167,161,147
172,158,149
137,122,115
149,134,127
155,139,139
139,124,119
122,107,112
160,152,139
150,136,127
139,115,113
137,123,114
122,105,95
125,112,106
155,143,131
146,119,108
177,156,151
158,138,129
146,128,108
155,134,131
185,165,156
165,143,132
135,112,96
178,154,150
160,132,118
153,122,119
163,138,134
170,146,142
166,145,144
154,133,130
157,135,124
143,112,107
155,130,123
166,148,134
184,162,165
173,151,137
166,148,134
142,118,106
134,106,102
145,123,125
176,152,142
158,141,131
165,145,136
165,148,138
178,149,145
177,147,139
164,137,128
161,138,132
162,137,140
173,146,137
166,138,126
171,148,140
154,130,120
162,138,134
174,145,139
199,173,172
195,172,164
156,132,122
170,147,139
162,132,122
166,130,116
153,123,115
168,136,121
172,148,138
163,143,132
178,149,131
188,157,137
173,149,139
152,133,139
167,152,157
154,133,140
152,136,136
183,151,138
169,149,125
169,136,117
171,144,125
181,149,136
181,154,145
176,157,153
181,149,136
182,158,146
174,146,135
175,148,131
178,145,128
197,170,161
184,161,143
203,182,165
172,148,138
144,123,118
132,107,102
143,123,124
129,109,102
152,123,105
140,111,105
143,118,113
145,121,109
147,118,110
154,118,104
158,122,106
152,124,110
171,149,138
157,133,123
169,147,150
163,138,141
180,154,157
181,153,141
152,133,118
157,140,122
172,147,142
169,156,148
165,149,150
181,157,157
163,135,124
166,138,124
177,147,147
179,154,147
174,142,131
172,143,137
163,134,130
181,161,160
174,159,154
168,145,139
185,162,156
177,147,145
170,143,134
162,134,130
176,150,153
162,141,138
167,140,131
166,139,130
162,139,133
138,119,125
135,113,116
134,113,108
140,120,113
145,118,109
130,121,114
119,99,100
128,111,117
137,122,125
125,98,103
138,125,142
145,125,118
132,106,107
138,122,125
154,136,150
146,122,122
158,135,129
170,138,127
152,122,112
176,157,140
144,115,107
161,137,125
144,115,101
158,137,134
172,146,131
154,130,128
167,137,129
153,134,128
156,134,123
153,126,117
167,141,126
153,132,127
157,144,125
148,127,122
144,123,122
146,133,124
137,118,122
155,145,135
140,122,110
124,113,107
127,119,117
148,128,129
143,131,133
121,103,93
139,123,110
126,106,99
119,101,89
137,113,111
142,121,116
135,111,101
221,183,162
170,142,139
162,144,142
167,143,143
141,122,144
162,142,151
164,139,134
159,135,149
168,142,145
169,144,139
165,150,155
148,130,126
169,144,139
159,140,144
169,141,130
170,143,136
161,136,132
147,131,132
151,141,150
154,136,134
157,127,116
151,119,108
163,131,120
179,145,135
145,116,108
155,123,108
179,137,125
157,123,111
150,116,114
160,132,121
178,141,133
153,121,106
145,118,101
157,135,114
143,114,100
145,119,106
150,122,110
142,114,102
158,130,116
153,125,113
156,128,117
161,133,122
167,143,131
155,129,114
164,136,122
147,121,108
157,135,122
155,129,128
159,141,139
165,131,130
150,128,117
150,131,116
123,108,101
134,117,109
126,110,110
130,113,105
132,115,105
121,101,92
131,109,98
124,100,90
142,125,118
134,115,119
118,95,87
122,102,95
126,104,106
151,132,125
138,119,115
145,134,130
151,146,143
135,120,113
143,119,119
133,113,114
144,126,124
128,109,105
119,102,95
109,87,89
117,96,91
129,105,101
117,97,86
122,102,95
149,138,144
134,121,112
109,99,97
142,129,123
127,113,113
129,114,111
129,117,117
130,116,116
135,121,120
153,129,119
145,122,108
145,117,96
134,104,93
161,128,111
148,116,101
152,124,110
154,127,116
154,130,118
